
01/17 23:50:54 [[1;32mNOTICE[0m] Downloading 1 item(s)
[#50d851 0B/0B CN:1 DL:0B]
[#50d851 85MiB/127GiB(0%) CN:4 DL:0B]
[#50d851 85MiB/127GiB(0%) CN:4 DL:578KiB ETA:64h2m43s]
[#50d851 86MiB/127GiB(0%) CN:4 DL:644KiB ETA:57h30m53s]
[#50d851 87MiB/127GiB(0%) CN:4 DL:726KiB ETA:50h59m26s]
[#50d851 87MiB/127GiB(0%) CN:4 DL:793KiB ETA:46h42m59s]
[#50d851 88MiB/127GiB(0%) CN:4 DL:833KiB ETA:44h27m51s]
[#50d851 89MiB/127GiB(0%) CN:4 DL:842KiB ETA:44h3s]
[#50d851 90MiB/127GiB(0%) CN:4 DL:887KiB ETA:41h45m51s]
[#50d851 91MiB/127GiB(0%) CN:4 DL:907KiB ETA:40h48m32s]
[#50d851 92MiB/127GiB(0%) CN:4 DL:911KiB ETA:40h40m18s]
[#50d851 93MiB/127GiB(0%) CN:4 DL:907KiB ETA:40h50m57s]
[#50d851 94MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h44m29s]
[#50d851 95MiB/127GiB(0%) CN:4 DL:878KiB ETA:42h11m40s]
[#50d851 95MiB/127GiB(0%) CN:4 DL:855KiB ETA:43h18m9s]
[#50d851 96MiB/127GiB(0%) CN:4 DL:818KiB ETA:45h14m41s]
[#50d851 96MiB/127GiB(0%) CN:4 DL:766KiB ETA:48h20m20s]
[#50d851 97MiB/127GiB(0%) CN:4 DL:720KiB ETA:51h23m59s]
[#50d851 97MiB/127GiB(0%) CN:4 DL:672KiB ETA:55h5m55s]
[#50d851 98MiB/127GiB(0%) CN:4 DL:616KiB ETA:60h8m34s]
[#50d851 98MiB/127GiB(0%) CN:4 DL:617KiB ETA:60h10s]
[#50d851 99MiB/127GiB(0%) CN:4 DL:596KiB ETA:62h4m18s]
[#50d851 100MiB/127GiB(0%) CN:4 DL:561KiB ETA:65h58m17s]
[#50d851 101MiB/127GiB(0%) CN:4 DL:602KiB ETA:61h27m25s]
[#50d851 101MiB/127GiB(0%) CN:4 DL:621KiB ETA:59h38m29s]
[#50d851 102MiB/127GiB(0%) CN:4 DL:656KiB ETA:56h23m59s]
[#50d851 103MiB/127GiB(0%) CN:4 DL:670KiB ETA:55h13m2s]
[#50d851 104MiB/127GiB(0%) CN:4 DL:699KiB ETA:52h56m47s]
[#50d851 104MiB/127GiB(0%) CN:4 DL:716KiB ETA:51h44m33s]
[#50d851 105MiB/127GiB(0%) CN:4 DL:725KiB ETA:51h4m11s]
[#50d851 105MiB/127GiB(0%) CN:4 DL:708KiB ETA:52h19m47s]
[#50d851 106MiB/127GiB(0%) CN:4 DL:713KiB ETA:51h53m27s]
[#50d851 107MiB/127GiB(0%) CN:4 DL:706KiB ETA:52h27m3s]
[#50d851 108MiB/127GiB(0%) CN:4 DL:711KiB ETA:52h4m16s]
[#50d851 108MiB/127GiB(0%) CN:4 DL:709KiB ETA:52h11m20s]
[#50d851 109MiB/127GiB(0%) CN:4 DL:718KiB ETA:51h32m52s]
[#50d851 110MiB/127GiB(0%) CN:4 DL:722KiB ETA:51h14m57s]
[#50d851 111MiB/127GiB(0%) CN:4 DL:731KiB ETA:50h37m1s]
[#50d851 112MiB/127GiB(0%) CN:4 DL:744KiB ETA:49h46m52s]
[#50d851 113MiB/127GiB(0%) CN:4 DL:811KiB ETA:45h38m2s]
[#50d851 113MiB/127GiB(0%) CN:4 DL:797KiB ETA:46h26m30s]
[#50d851 115MiB/127GiB(0%) CN:4 DL:858KiB ETA:43h7m52s]
[#50d851 115MiB/127GiB(0%) CN:4 DL:872KiB ETA:42h27m37s]
[#50d851 116MiB/127GiB(0%) CN:4 DL:892KiB ETA:41h30m5s]
[#50d851 117MiB/127GiB(0%) CN:4 DL:890KiB ETA:41h35m4s]
[#50d851 118MiB/127GiB(0%) CN:4 DL:905KiB ETA:40h55m7s]
[#50d851 119MiB/127GiB(0%) CN:4 DL:894KiB ETA:41h24m59s]
[#50d851 120MiB/127GiB(0%) CN:4 DL:911KiB ETA:40h37m39s]
[#50d851 121MiB/127GiB(0%) CN:4 DL:911KiB ETA:40h38m17s]
[#50d851 122MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h43m36s]
[#50d851 123MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h14m48s]
[#50d851 124MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h6m15s]
[#50d851 125MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:36h1m48s]
[#50d851 126MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h47m28s]
[#50d851 128MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:33h51m14s]
[#50d851 129MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:32h52m8s]
[#50d851 130MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h53m17s]
[#50d851 131MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h5m16s]
[#50d851 132MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h13m4s]
 *** Download Progress Summary as of Sat Jan 17 23:51:54 2026 *** 
===============================================================================
[#50d851 133MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h7m24s]
FILE: /scratch/iglesiay/databases/GTDB/gtdb_genomes_reps.tar.gz
-------------------------------------------------------------------------------

[#50d851 133MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h7m24s]
[#50d851 135MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:30h28m58s]
[#50d851 136MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h51m58s]
[#50d851 137MiB/127GiB(0%) CN:4 DL:1.2MiB ETA:30h4m35s]
[#50d851 138MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:30h59m41s]
[#50d851 139MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:31h51m45s]
[#50d851 140MiB/127GiB(0%) CN:4 DL:1.1MiB ETA:32h30m16s]
[#50d851 141MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:33h30m2s]
[#50d851 142MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h27m51s]
[#50d851 143MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:35h23m38s]
[#50d851 143MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h44m14s]
[#50d851 144MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h26m8s]
[#50d851 145MiB/127GiB(0%) CN:4 DL:872KiB ETA:42h26m8s]
[#50d851 146MiB/127GiB(0%) CN:4 DL:846KiB ETA:43h44m49s]
[#50d851 146MiB/127GiB(0%) CN:4 DL:876KiB ETA:42h14m44s]
[#50d851 147MiB/127GiB(0%) CN:4 DL:848KiB ETA:43h38m]
[#50d851 148MiB/127GiB(0%) CN:4 DL:814KiB ETA:45h28m38s]
[#50d851 149MiB/127GiB(0%) CN:4 DL:816KiB ETA:45h20m31s]
[#50d851 150MiB/127GiB(0%) CN:4 DL:811KiB ETA:45h37m39s]
[#50d851 151MiB/127GiB(0%) CN:4 DL:827KiB ETA:44h46m54s]
[#50d851 151MiB/127GiB(0%) CN:4 DL:833KiB ETA:44h25m6s]
[#50d851 152MiB/127GiB(0%) CN:4 DL:839KiB ETA:44h8m27s]
[#50d851 153MiB/127GiB(0%) CN:4 DL:862KiB ETA:42h55m45s]
[#50d851 154MiB/127GiB(0%) CN:4 DL:894KiB ETA:41h24m53s]
[#50d851 155MiB/127GiB(0%) CN:4 DL:912KiB ETA:40h34m39s]
[#50d851 156MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h11m34s]
[#50d851 158MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h51m46s]
[#50d851 159MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h45m56s]
[#50d851 160MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:35h4m39s]
[#50d851 161MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:35h20m39s]
[#50d851 162MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h42m44s]
[#50d851 163MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h31m16s]
[#50d851 164MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h14m5s]
[#50d851 165MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h40m7s]
[#50d851 166MiB/127GiB(0%) CN:4 DL:1.0MiB ETA:34h53m24s]
[#50d851 166MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h35m21s]
[#50d851 167MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:36h46m5s]
[#50d851 168MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h26m25s]
[#50d851 169MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h46m57s]
[#50d851 170MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h3s]
[#50d851 171MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h34m32s]
[#50d851 172MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:37h37m41s]
[#50d851 173MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h39m7s]
[#50d851 174MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h11m15s]
[#50d851 175MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h19m57s]
[#50d851 176MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h52m56s]
[#50d851 177MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h27m41s]
[#50d851 177MiB/127GiB(0%) CN:4 DL:917KiB ETA:40h21m14s]
[#50d851 178MiB/127GiB(0%) CN:4 DL:886KiB ETA:41h45m40s]
[#50d851 179MiB/127GiB(0%) CN:4 DL:866KiB ETA:42h43m37s]
[#50d851 180MiB/127GiB(0%) CN:4 DL:848KiB ETA:43h39m24s]
[#50d851 180MiB/127GiB(0%) CN:4 DL:836KiB ETA:44h14m27s]
[#50d851 181MiB/127GiB(0%) CN:4 DL:839KiB ETA:44h6m28s]
[#50d851 182MiB/127GiB(0%) CN:4 DL:868KiB ETA:42h37m48s]
[#50d851 183MiB/127GiB(0%) CN:4 DL:848KiB ETA:43h37m18s]
[#50d851 184MiB/127GiB(0%) CN:4 DL:896KiB ETA:41h17m25s]
[#50d851 185MiB/127GiB(0%) CN:4 DL:920KiB ETA:40h14m31s]
[#50d851 186MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h15m46s]
[#50d851 187MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h44m49s]
[#50d851 188MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h41m24s]
[#50d851 189MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h40m14s]
 *** Download Progress Summary as of Sat Jan 17 23:52:55 2026 *** 
===============================================================================
[#50d851 190MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h38m53s]
FILE: /scratch/iglesiay/databases/GTDB/gtdb_genomes_reps.tar.gz
-------------------------------------------------------------------------------

[#50d851 190MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:39h38m53s]
[#50d851 190MiB/127GiB(0%) CN:4 DL:0.9MiB ETA:38h48m35s]
[#50d851 191MiB/127GiB(0%) CN:4 DL:882KiB ETA:41h58m43s]
[#50d851 192MiB/127GiB(0%) CN:4 DL:857KiB ETA:43h12m9s]
[#50d851 193MiB/127GiB(0%) CN:4 DL:831KiB ETA:44h31m37s]
[#50d851 193MiB/127GiB(0%) CN:4 DL:802KiB ETA:46h8m19s]
[#50d851 194MiB/127GiB(0%) CN:4 DL:792KiB ETA:46h41m56s]
[#50d851 195MiB/127GiB(0%) CN:4 DL:794KiB ETA:46h37m44s]
[#50d851 196MiB/127GiB(0%) CN:4 DL:797KiB ETA:46h26m21s]
[#50d851 197MiB/127GiB(0%) CN:4 DL:791KiB ETA:46h45m32s]
[#50d851 197MiB/127GiB(0%) CN:4 DL:802KiB ETA:46h7m56s]
[#50d851 198MiB/127GiB(0%) CN:4 DL:818KiB ETA:45h13m43s]
[#50d851 199MiB/127GiB(0%) CN:4 DL:831KiB ETA:44h32m24s]
[#50d851 200MiB/127GiB(0%) CN:4 DL:806KiB ETA:45h54m49s]
[#50d851 200MiB/127GiB(0%) CN:4 DL:775KiB ETA:47h44m38s]
[#50d851 201MiB/127GiB(0%) CN:4 DL:777KiB ETA:47h35m57s]
[#50d851 202MiB/127GiB(0%) CN:4 DL:758KiB ETA:48h48m34s]
[#50d851 202MiB/127GiB(0%) CN:4 DL:746KiB ETA:49h35m9s]
